Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Taquara;4;3;1;190;1200.0;0.0;0.0;6.32;Apartmento
Casa;Campo Grande;2;1;2;74;1200.0;0.0;0.0;16.22;Casa
Apartamento;Campo Grande;2;0;0;60;600.0;0.0;0.0;10.0;Apartmento
Apartamento;Vista Alegre;1;0;0;35;750.0;0.0;0.0;21.43;Apartmento
Casa;Santa Teresa;1;0;0;60;1300.0;0.0;85.0;21.67;Casa
Apartamento;Flamengo;4;0;1;300;7000.0;0.0;0.0;23.33;Apartmento
Casa de Vila;Santa Teresa;2;0;0;46;2000.0;0.0;0.0;43.48;Casa
Apartamento;Leblon;4;3;1;250;18000.0;0.0;0.0;72.0;Apartmento
Casa;Rio Comprido;6;1;0;380;2000.0;0.0;320.0;5.26;Casa
Apartamento;Bangu;1;0;0;50;750.0;0.0;100.0;15.0;Apartmento
Apartamento;Taquara;2;1;0;70;1000.0;0.0;13.0;14.29;Apartmento
Apartamento;Jardim América;1;0;0;60;600.0;0.0;0.0;10.0;Apartmento
Casa;Santa Teresa;3;3;1;400;6000.0;0.0;0.0;15.0;Casa
Casa;Campo Grande;4;0;1;366;1890.0;0.0;208.0;5.16;Casa
Casa de Vila;Cosme Velho;5;3;0;900;15000.0;0.0;5000.0;16.67;Casa
Casa;Urca;4;1;2;320;20000.0;0.0;423.0;62.5;Casa
Apartamento;Barra da Tijuca;2;1;1;110;4500.0;0.0;0.0;40.91;Apartmento
Casa;Vila Valqueire;2;2;0;155;1200.0;0.0;0.0;7.74;Casa
Apartamento;Leme;2;1;1;75;6000.0;0.0;0.0;80.0;Apartmento
Casa de Condomínio;Barra da Tijuca;5;8;5;1000;40000.0;0.0;0.0;40.0;Casa
Casa de Condomínio;Pechincha;3;1;2;80;1900.0;0.0;0.0;23.75;Casa
Casa;Santa Teresa;5;4;0;380;8000.0;0.0;269.0;21.05;Casa
Apartamento;Campo Grande;2;0;0;74;800.0;0.0;0.0;10.81;Apartmento
Casa;Irajá;1;0;0;35;700.0;0.0;0.0;20.0;Casa
Casa de Condomínio;Pechincha;3;1;2;155;2500.0;0.0;0.0;16.13;Casa
Apartamento;Marechal Hermes;1;0;0;70;520.0;0.0;25.0;7.43;Apartmento
Flat;Barra da Tijuca;1;1;1;40;3000.0;0.0;0.0;75.0;Apartmento
Apartamento;Botafogo;2;1;1;50;5400.0;0.0;0.0;108.0;Apartmento
Apartamento;Taquara;1;0;0;40;800.0;0.0;13.0;20.0;Apartmento
Apartamento;Recreio dos Bandeirantes;2;2;1;79;2800.0;0.0;0.0;35.44;Apartmento
Apartamento;Copacabana;1;0;0;40;6000.0;0.0;0.0;150.0;Apartmento
Casa;Anil;7;2;1;268;3300.0;0.0;430.0;12.31;Casa
Casa;Ramos;1;0;0;45;850.0;0.0;0.0;18.89;Casa
Casa;Campo Grande;4;0;0;159;1800.0;0.0;0.0;11.32;Casa
Casa de Vila;Riachuelo;2;0;0;41;1200.0;0.0;40.0;29.27;Casa
Apartamento;Botafogo;1;0;0;25;1800.0;0.0;0.0;72.0;Apartmento
Casa de Vila;Cascadura;1;0;0;40;850.0;0.0;0.0;21.25;Casa
Casa;Campo Grande;3;1;3;114;1500.0;0.0;0.0;13.16;Casa
Casa;Campo Grande;4;0;2;324;3000.0;0.0;0.0;9.26;Casa
Apartamento;Recreio dos Bandeirantes;3;1;1;80;2000.0;0.0;0.0;25.0;Apartmento
Casa;Itanhangá;5;3;5;400;12000.0;0.0;2200.0;30.0;Casa
Casa;Freguesia (Jacarepaguá);2;0;0;150;3300.0;0.0;860.0;22.0;Casa
Apartamento;Campo Grande;2;1;0;68;1300.0;0.0;0.0;19.12;Apartmento
Apartamento;Grumari;2;1;1;65;1900.0;0.0;0.0;29.23;Apartmento
Apartamento;Copacabana;3;1;1;120;4500.0;0.0;0.0;37.5;Apartmento
Casa de Condomínio;Madureira;2;0;0;70;900.0;0.0;68.0;12.86;Casa
Casa;Jardim Botânico;5;4;4;845;35000.0;0.0;0.0;41.42;Casa
Casa;Braz de Pina;4;1;0;99;1800.0;0.0;0.0;18.18;Casa
Apartamento;Ricardo de Albuquerque;1;0;0;25;350.0;0.0;0.0;14.0;Apartmento
Apartamento;Ramos;2;0;0;75;800.0;0.0;0.0;10.67;Apartmento
Apartamento;Santíssimo;2;1;0;45;600.0;0.0;0.0;13.33;Apartmento
Apartamento;Leblon;2;1;1;90;7950.0;0.0;0.0;88.33;Apartmento
Casa;Vila da Penha;2;0;0;115;1200.0;0.0;0.0;10.43;Casa
Casa;Praça Seca;2;0;0;60;850.0;0.0;13.0;14.17;Casa
Casa;Madureira;1;0;0;30;1100.0;0.0;0.0;36.67;Casa
Casa;Campo Grande;2;1;0;91;1200.0;0.0;0.0;13.19;Casa
Apartamento;Península;4;3;4;403;16000.0;0.0;0.0;39.7;Apartmento
Apartamento;Cosmos;2;0;0;50;800.0;0.0;0.0;16.0;Apartmento
Casa;Barra da Tijuca;2;0;2;74;1850.0;0.0;162.0;25.0;Casa
Casa;Vigário Geral;1;0;0;40;550.0;0.0;0.0;13.75;Casa
Casa;Oswaldo Cruz;1;1;0;60;700.0;0.0;0.0;11.67;Casa
Apartamento;Copacabana;2;1;1;100;3990.0;0.0;0.0;39.9;Apartmento
Casa;Encantado;1;0;0;40;1000.0;0.0;17.0;25.0;Casa
Quitinete;Tijuca;1;0;0;30;990.0;0.0;0.0;33.0;Apartmento
Casa;Anchieta;2;2;0;70;950.0;0.0;0.0;13.57;Casa
Quitinete;Gardênia Azul;1;0;0;18;485.0;0.0;0.0;26.94;Apartmento
Casa;Campo Grande;4;1;3;100;1600.0;0.0;0.0;16.0;Casa
Apartamento;Recreio dos Bandeirantes;1;0;0;30;2000.0;0.0;0.0;66.67;Apartmento
Quitinete;Curicica;1;0;0;45;900.0;0.0;0.0;20.0;Apartmento
Apartamento;Laranjeiras;6;1;0;510;13000.0;0.0;670.0;25.49;Apartmento
Casa;Vila Valqueire;3;0;1;128;1500.0;0.0;45.0;11.72;Casa
Apartamento;Irajá;2;0;0;50;850.0;0.0;0.0;17.0;Apartmento
Casa;Bangu;3;2;0;100;1450.0;0.0;0.0;14.5;Casa
Casa de Vila;Ramos;1;0;0;40;600.0;0.0;0.0;15.0;Casa
Apartamento;Barra da Tijuca;2;1;1;90;2490.0;0.0;0.0;27.67;Apartmento
Casa;Campo Grande;2;1;0;70;650.0;0.0;0.0;9.29;Casa
Casa;Vila Kosmos;1;0;0;60;1000.0;0.0;0.0;16.67;Casa
Casa;Jardim América;2;1;0;52;850.0;0.0;0.0;16.35;Casa
Casa de Condomínio;Campo Grande;2;1;0;60;710.0;0.0;0.0;11.83;Casa
Casa;Jardim Botânico;4;1;2;500;15000.0;0.0;500.0;30.0;Casa
Casa;Barra da Tijuca;5;6;0;400;20000.0;0.0;590.0;50.0;Casa
Casa;Campo Grande;2;0;0;60;700.0;0.0;0.0;11.67;Casa
Apartamento;Recreio dos Bandeirantes;3;3;1;300;5500.0;0.0;0.0;18.33;Apartmento
Apartamento;Penha;2;1;1;70;900.0;0.0;0.0;12.86;Apartmento
Apartamento;Vila Isabel;1;0;0;61;1300.0;0.0;20.0;21.31;Apartmento
Flat;Leme;2;0;2;75;5000.0;0.0;0.0;66.67;Apartmento
Apartamento;Barra da Tijuca;4;0;4;280;10000.0;0.0;0.0;35.71;Apartmento
Casa de Vila;Campo Grande;1;0;0;70;750.0;0.0;0.0;10.71;Casa
Apartamento;Campo Grande;2;1;0;45;800.0;0.0;0.0;17.78;Apartmento
Casa de Condomínio;Guaratiba;2;2;2;79;2100.0;0.0;0.0;26.58;Casa
Apartamento;Guadalupe;1;0;0;30;400.0;0.0;0.0;13.33;Apartmento
Apartamento;Campo Grande;2;1;0;60;1000.0;0.0;0.0;16.67;Apartmento
Casa;Grajaú;4;5;1;270;4800.0;0.0;2300.0;17.78;Casa
Casa;Vila da Penha;3;1;2;93;2000.0;0.0;0.0;21.51;Casa
Apartamento;Campo Grande;2;0;2;60;1000.0;0.0;0.0;16.67;Apartmento
Casa;Curicica;3;3;1;308;3500.0;0.0;2435.0;11.36;Casa
Apartamento;Engenho de Dentro;2;0;0;50;1000.0;0.0;36.0;20.0;Apartmento
Casa de Vila;Realengo;2;0;0;70;1200.0;0.0;0.0;17.14;Casa
Casa de Vila;Cavalcanti;1;0;0;45;600.0;0.0;30.0;13.33;Casa
Casa;Encantado;2;1;0;72;1400.0;0.0;34.0;19.44;Casa
Casa de Condomínio;Barra da Tijuca;1;0;1;40;1750.0;0.0;0.0;43.75;Casa
Apartamento;Magalhães Bastos;2;0;1;40;900.0;0.0;60.0;22.5;Apartmento
Quitinete;Braz de Pina;1;0;0;37;600.0;0.0;0.0;16.22;Apartmento
Casa;Joá;5;2;4;595;10000.0;0.0;0.0;16.81;Casa
Apartamento;Ipanema;1;1;1;65;4500.0;0.0;0.0;69.23;Apartmento
Apartamento;Campo Grande;2;1;1;45;850.0;0.0;0.0;18.89;Apartmento
Casa;Marechal Hermes;1;0;0;45;700.0;0.0;0.0;15.56;Casa
Apartamento;Vila da Penha;1;0;0;30;700.0;0.0;0.0;23.33;Apartmento
Casa de Vila;Ramos;1;0;0;35;700.0;0.0;0.0;20.0;Casa
Casa;Vila Isabel;2;0;0;70;2000.0;0.0;0.0;28.57;Casa
Casa;Campo Grande;2;1;0;90;1200.0;0.0;0.0;13.33;Casa
Casa de Condomínio;Praça Seca;1;1;0;50;780.0;0.0;0.0;15.6;Casa
Apartamento;Barra da Tijuca;3;2;1;130;5500.0;0.0;0.0;42.31;Apartmento
Casa;Jardim Botânico;4;4;4;845;35000.0;0.0;0.0;41.42;Casa
Casa de Vila;Tijuca;2;0;0;70;1500.0;0.0;0.0;21.43;Casa
Casa;Bento Ribeiro;3;3;0;70;2000.0;0.0;0.0;28.57;Casa
Casa;Méier;1;0;0;50;900.0;0.0;14.0;18.0;Casa
Apartamento;Guadalupe;2;0;0;57;850.0;0.0;0.0;14.91;Apartmento
Casa;Campo Grande;1;0;0;70;700.0;0.0;0.0;10.0;Casa
Apartamento;Jardim Guanabara;1;1;0;50;1200.0;0.0;0.0;24.0;Apartmento
Casa;Olaria;1;0;1;11;800.0;0.0;0.0;72.73;Casa
Casa;Recreio dos Bandeirantes;4;2;3;600;15000.0;0.0;600.0;25.0;Casa
Quitinete;Higienópolis;1;0;0;96;700.0;0.0;0.0;7.29;Apartmento
Apartamento;Praça Seca;3;0;0;80;1300.0;0.0;23.0;16.25;Apartmento
Casa;Laranjeiras;6;3;1;450;11000.0;0.0;0.0;24.44;Casa
Casa de Vila;Colégio;2;1;0;50;980.0;0.0;0.0;19.6;Casa
Casa;Jardim Botânico;4;1;4;387;25000.0;0.0;5000.0;64.6;Casa
Casa;Méier;6;1;0;347;9000.0;0.0;0.0;25.94;Casa
Apartamento;Campo Grande;2;0;0;50;1000.0;0.0;0.0;20.0;Apartmento
Apartamento;Anil;2;0;0;42;850.0;0.0;0.0;20.24;Apartmento
Casa;Gávea;4;5;3;822;25000.0;0.0;15400.0;30.41;Casa
Quitinete;Irajá;1;0;0;40;700.0;0.0;0.0;17.5;Apartmento
Casa;Urca;5;2;2;350;19000.0;0.0;0.0;54.29;Casa
Casa;Realengo;2;0;0;80;800.0;0.0;26.0;10.0;Casa
Apartamento;Flamengo;2;0;0;100;3800.0;0.0;0.0;38.0;Apartmento
Casa de Vila;Pechincha;3;2;1;155;2500.0;0.0;0.0;16.13;Casa
Casa;Oswaldo Cruz;2;0;0;89;1500.0;0.0;0.0;16.85;Casa
Apartamento;Campo Grande;2;1;0;70;800.0;0.0;0.0;11.43;Apartmento
Studio;Rio Comprido;0;0;0;250;5000.0;0.0;345.0;20.0;Apartmento
Casa;Campo Grande;4;1;2;235;2500.0;0.0;0.0;10.64;Casa
Casa;Campo Grande;2;1;1;120;1500.0;0.0;0.0;12.5;Casa
Apartamento;Pavuna;2;0;0;60;750.0;0.0;0.0;12.5;Apartmento
Apartamento;Flamengo;5;3;3;470;9000.0;0.0;1269.0;19.15;Apartmento
Casa de Vila;Padre Miguel;1;0;0;33;600.0;0.0;60.0;18.18;Casa
Apartamento;Campo Grande;1;0;0;65;700.0;0.0;0.0;10.77;Apartmento
Casa de Vila;Méier;2;0;0;71;2000.0;0.0;36.0;28.17;Casa
Casa;Jardim Botânico;5;4;5;1400;20000.0;0.0;1912.0;14.29;Casa
Casa de Vila;Campo Grande;1;0;0;40;500.0;0.0;0.0;12.5;Casa
Casa;Honório Gurgel;1;0;0;40;500.0;0.0;0.0;12.5;Casa
Casa de Vila;Olaria;1;0;0;45;700.0;0.0;0.0;15.56;Casa
Casa;Jardim Botânico;4;4;4;450;25000.0;0.0;1750.0;55.56;Casa
Casa de Vila;Cachambi;2;0;0;100;1600.0;0.0;0.0;16.0;Casa
Casa;Campo Grande;1;2;1;160;2300.0;0.0;0.0;14.38;Casa
Casa;Vila da Penha;1;0;0;50;900.0;0.0;0.0;18.0;Casa
Casa;Tijuca;3;1;0;198;2000.0;0.0;0.0;10.1;Casa
Casa;Pilares;1;0;0;50;900.0;0.0;0.0;18.0;Casa
Casa;Grajaú;6;4;4;90;60000.0;0.0;0.0;666.67;Casa
Apartamento;Braz de Pina;3;1;0;60;1200.0;0.0;0.0;20.0;Apartmento
Apartamento;Botafogo;1;0;0;28;2400.0;0.0;0.0;85.71;Apartmento
Casa;Humaitá;4;0;0;300;7500.0;0.0;2100.0;25.0;Casa
Casa;Recreio dos Bandeirantes;4;5;3;386;15000.0;0.0;610.0;38.86;Casa
Casa;Abolição;2;1;0;70;1180.0;0.0;151.0;16.86;Casa
Casa de Vila;Vila Militar;1;0;0;30;500.0;0.0;0.0;16.67;Casa
Casa;Pedra de Guaratiba;1;2;0;70;660.0;0.0;0.0;9.43;Casa
Apartamento;Jacarepaguá;1;1;1;38;2500.0;0.0;0.0;65.79;Apartmento
Casa de Condomínio;Campo Grande;3;2;2;192;1400.0;0.0;0.0;7.29;Casa
Apartamento;Botafogo;3;0;0;75;2300.0;0.0;0.0;30.67;Apartmento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1600.0;0.0;0.0;21.62;Apartmento
Casa;Santa Teresa;2;0;1;80;1500.0;0.0;0.0;18.75;Casa
Casa de Condomínio;Recreio dos Bandeirantes;4;4;0;400;9000.0;0.0;514.0;22.5;Casa
Casa;Grajaú;3;1;0;120;2900.0;0.0;150.0;24.17;Casa
Apartamento;Ipanema;2;0;1;90;7000.0;0.0;0.0;77.78;Apartmento
Casa;Irajá;4;2;4;176;4500.0;0.0;0.0;25.57;Casa
Casa;Campo Grande;3;1;2;200;2500.0;0.0;0.0;12.5;Casa
Quitinete;Senador Vasconcelos;1;0;0;40;550.0;0.0;0.0;13.75;Apartmento
Apartamento;Campo Grande;2;0;0;50;1100.0;0.0;2.0;22.0;Apartmento
Apartamento;Bonsucesso;2;0;0;61;1100.0;0.0;0.0;18.03;Apartmento
Apartamento;Madureira;2;0;0;75;1050.0;0.0;0.0;14.0;Apartmento
Casa de Condomínio;Vargem Grande;3;2;1;160;3900.0;0.0;0.0;24.38;Casa
Casa;Jardim América;1;0;0;38;550.0;0.0;0.0;14.47;Casa
Casa;Recreio dos Bandeirantes;4;2;2;473;3200.0;0.0;928.0;6.77;Casa
Casa;Vila Valqueire;1;0;0;60;900.0;0.0;0.0;15.0;Casa
Casa de Condomínio;Recreio dos Bandeirantes;3;2;3;168;4500.0;0.0;0.0;26.79;Casa
Casa;Bento Ribeiro;1;1;0;50;1100.0;0.0;0.0;22.0;Casa
Casa de Vila;Méier;3;1;0;82;2300.0;0.0;13.0;28.05;Casa
Apartamento;Pedra de Guaratiba;1;0;0;40;500.0;0.0;0.0;12.5;Apartmento
Casa;Gávea;3;6;2;363;15000.0;0.0;704.0;41.32;Casa
Apartamento;Barra da Tijuca;2;0;2;80;4500.0;0.0;0.0;56.25;Apartmento
Casa;Urca;4;1;1;160;12000.0;0.0;0.0;75.0;Casa
Casa;Campo Grande;2;0;0;45;1000.0;0.0;0.0;22.22;Casa
Apartamento;Del Castilho;1;0;0;55;800.0;0.0;0.0;14.55;Apartmento
Casa;Barra da Tijuca;5;6;4;2000;49991.0;0.0;0.0;25.0;Casa
Casa;Gávea;4;4;0;450;14000.0;0.0;7200.0;31.11;Casa
Casa;Madureira;2;0;0;32;1300.0;0.0;0.0;40.62;Casa
Apartamento;Higienópolis;1;0;0;50;650.0;0.0;0.0;13.0;Apartmento
Apartamento;Copacabana;4;0;1;180;8000.0;0.0;0.0;44.44;Apartmento
Apartamento;Barra da Tijuca;1;0;1;24;3300.0;0.0;0.0;137.5;Apartmento
Apartamento;Penha Circular;3;1;0;60;1100.0;0.0;42.0;18.33;Apartmento
Casa de Condomínio;Urca;5;3;4;346;20000.0;0.0;0.0;57.8;Casa
Casa de Condomínio;Méier;3;1;1;80;1900.0;0.0;0.0;23.75;Casa
Apartamento;Quintino Bocaiúva;2;0;0;40;800.0;0.0;0.0;20.0;Apartmento
Casa;Campo Grande;3;0;1;90;1150.0;0.0;0.0;12.78;Casa
Flat;Copacabana;1;1;1;50;3900.0;0.0;0.0;78.0;Apartmento
Apartamento;Copacabana;2;1;2;300;12000.0;0.0;0.0;40.0;Apartmento
Casa;Itanhangá;4;2;1;450;8000.0;0.0;937.0;17.78;Casa
Casa de Vila;Vila Isabel;2;0;0;45;1600.0;0.0;0.0;35.56;Casa
Apartamento;Tijuca;3;0;0;120;1600.0;0.0;0.0;13.33;Apartmento
Apartamento;Vila da Penha;1;0;0;30;800.0;0.0;0.0;26.67;Apartmento
Apartamento;Recreio dos Bandeirantes;4;3;4;260;4000.0;0.0;0.0;15.38;Apartmento
Apartamento;Cascadura;2;0;0;96;1250.0;0.0;77.0;13.02;Apartmento
Casa;Campo Grande;1;1;0;37;600.0;0.0;0.0;16.22;Casa
Casa;Joá;4;7;0;340;9990.0;0.0;970.0;29.38;Casa
Casa;Vargem Grande;6;0;6;1000;20000.0;0.0;715.0;20.0;Casa
Casa;Campo Grande;3;1;3;115;1500.0;0.0;0.0;13.04;Casa
Apartamento;Copacabana;1;0;0;35;3000.0;0.0;0.0;85.71;Apartmento
Casa de Vila;Campo Grande;1;0;0;40;600.0;0.0;25.0;15.0;Casa
Quitinete;Vila da Penha;1;0;0;15;600.0;0.0;0.0;40.0;Apartmento
Casa;Jardim Botânico;4;4;4;845;35000.0;0.0;0.0;41.42;Casa
Apartamento;Freguesia (Jacarepaguá);1;0;0;28;550.0;0.0;0.0;19.64;Apartmento
Casa de Condomínio;Barra da Tijuca;4;5;1;365;7150.0;0.0;6600.0;19.59;Casa
Apartamento;Campo Grande;2;1;0;45;850.0;0.0;0.0;18.89;Apartmento
Casa de Vila;Braz de Pina;1;0;0;50;800.0;0.0;0.0;16.0;Casa
Casa;Ribeira;3;0;0;65;1200.0;0.0;0.0;18.46;Casa
Casa de Vila;Cascadura;1;0;0;42;800.0;0.0;0.0;19.05;Casa
Apartamento;Anil;2;1;0;50;1450.0;0.0;0.0;29.0;Apartmento
Casa;Bonsucesso;2;0;0;72;2000.0;0.0;0.0;27.78;Casa
Casa de Condomínio;Barra da Tijuca;6;5;6;1100;25000.0;0.0;0.0;22.73;Casa
Casa;Pechincha;2;0;0;55;1000.0;0.0;0.0;18.18;Casa
Casa de Vila;Méier;2;1;1;65;1800.0;0.0;0.0;27.69;Casa
Casa;Urca;5;2;4;320;21000.0;0.0;0.0;65.62;Casa
Casa;Barra da Tijuca;4;6;4;500;25000.0;0.0;1298.0;50.0;Casa
Quitinete;Santa Teresa;1;0;0;20;600.0;0.0;0.0;30.0;Apartmento
Apartamento;Copacabana;1;1;1;80;3300.0;0.0;0.0;41.25;Apartmento
Casa de Vila;Realengo;1;0;0;45;650.0;0.0;0.0;14.44;Casa
Casa de Vila;São Francisco Xavier;3;0;1;80;1200.0;0.0;17.0;15.0;Casa
Apartamento;Gamboa;2;0;0;43;950.0;0.0;0.0;22.09;Apartmento
Apartamento;Guadalupe;2;0;0;80;1000.0;0.0;0.0;12.5;Apartmento
Casa;Vila da Penha;2;0;0;70;1200.0;0.0;0.0;17.14;Casa
Casa;Andaraí;2;1;0;80;1580.0;0.0;30.0;19.75;Casa
Casa;São Conrado;5;3;3;500;14000.0;0.0;508.0;28.0;Casa
Apartamento;Botafogo;1;0;0;30;2300.0;0.0;0.0;76.67;Apartmento
Casa;Jardim Botânico;5;2;2;276;15000.0;0.0;525.0;54.35;Casa
Apartamento;Tijuca;2;0;0;60;2100.0;0.0;0.0;35.0;Apartmento
Apartamento;Botafogo;1;0;0;25;1800.0;0.0;25.0;72.0;Apartmento
Apartamento;Oswaldo Cruz;2;1;0;65;1100.0;0.0;0.0;16.92;Apartmento
Casa;Campo Grande;2;1;2;80;950.0;0.0;0.0;11.88;Casa
Casa;Jardim Guanabara;2;0;0;100;900.0;0.0;0.0;9.0;Casa
Casa;Campo Grande;2;2;0;80;1000.0;0.0;0.0;12.5;Casa
Casa;Botafogo;10;2;4;700;25000.0;0.0;19461.0;35.71;Casa
Apartamento;Grajaú;3;0;0;85;1600.0;0.0;45.0;18.82;Apartmento
Casa;Jardim Botânico;4;3;4;500;20000.0;0.0;1800.0;40.0;Casa
Apartamento;Botafogo;3;2;1;170;5850.0;0.0;270.0;34.41;Apartmento
Casa;Recreio dos Bandeirantes;4;3;1;350;4500.0;0.0;0.0;12.86;Casa
Apartamento;Gardênia Azul;2;0;0;55;1200.0;0.0;11.0;21.82;Apartmento
Casa;Paciência;1;0;0;40;650.0;0.0;0.0;16.25;Casa
Apartamento;Vista Alegre;2;0;0;62;1050.0;0.0;0.0;16.94;Apartmento
Apartamento;Lagoa;4;2;2;350;15000.0;0.0;0.0;42.86;Apartmento
Apartamento;Realengo;2;0;0;44;700.0;0.0;0.0;15.91;Apartmento
Apartamento;Barra da Tijuca;3;2;3;165;5000.0;0.0;0.0;30.3;Apartmento
Apartamento;Barra da Tijuca;4;2;2;160;5500.0;0.0;0.0;34.38;Apartmento
Apartamento;Taquara;3;0;0;86;2000.0;0.0;107.0;23.26;Apartmento
Casa;Urca;6;2;2;260;18000.0;0.0;0.0;69.23;Casa
Apartamento;Vila da Penha;1;0;0;40;1000.0;0.0;0.0;25.0;Apartmento
Casa;Cascadura;2;0;0;65;1500.0;0.0;0.0;23.08;Casa
Casa;Campo Grande;1;1;0;50;550.0;0.0;2.0;11.0;Casa
Casa;Irajá;2;0;0;60;850.0;0.0;0.0;14.17;Casa
Casa de Vila;Campo Grande;3;1;0;80;1300.0;0.0;0.0;16.25;Casa
Apartamento;Campo Grande;2;1;0;40;600.0;0.0;0.0;15.0;Apartmento
Apartamento;Copacabana;1;1;1;46;3000.0;0.0;0.0;65.22;Apartmento
Apartamento;Copacabana;1;0;0;30;2700.0;0.0;0.0;90.0;Apartmento
Casa de Condomínio;Humaitá;6;2;2;450;8000.0;0.0;0.0;17.78;Casa
Apartamento;São Cristóvão;1;0;0;33;780.0;0.0;0.0;23.64;Apartmento
Casa;São Conrado;4;3;2;380;10000.0;0.0;730.0;26.32;Casa
Casa;Santa Teresa;1;0;0;70;1400.0;0.0;21.0;20.0;Casa
Casa;Madureira;3;0;0;112;1200.0;0.0;0.0;10.71;Casa
Casa;Bento Ribeiro;1;0;0;38;600.0;0.0;0.0;15.79;Casa
Casa;Jardim Botânico;4;0;3;280;10000.0;0.0;520.0;35.71;Casa
Casa de Vila;São Cristóvão;1;0;0;33;1400.0;0.0;53.0;42.42;Casa
Apartamento;Glória;2;0;1;117;3100.0;0.0;43.0;26.5;Apartmento
Casa;Campo Grande;6;4;0;180;10000.0;0.0;0.0;55.56;Casa
Casa;Vila Isabel;3;0;0;90;2000.0;0.0;0.0;22.22;Casa
Quitinete;Botafogo;1;1;0;64;4000.0;0.0;0.0;62.5;Apartmento
Casa;Freguesia (Jacarepaguá);4;3;0;318;4500.0;0.0;0.0;14.15;Casa
Casa de Vila;Piedade;2;0;1;80;1300.0;0.0;0.0;16.25;Casa
Apartamento;Campo Grande;2;1;0;75;1200.0;0.0;0.0;16.0;Apartmento
Casa;Ramos;1;0;1;50;800.0;0.0;0.0;16.0;Casa
Apartamento;Ipanema;1;0;0;60;3000.0;0.0;0.0;50.0;Apartmento
Flat;Ipanema;1;1;1;50;6500.0;0.0;0.0;130.0;Apartmento
Apartamento;Campo Grande;2;0;0;65;800.0;0.0;0.0;12.31;Apartmento
Apartamento;Vista Alegre;2;0;0;55;900.0;0.0;0.0;16.36;Apartmento
Casa;Campo Grande;2;1;0;70;1200.0;0.0;0.0;17.14;Casa
Apartamento;Barra da Tijuca;4;3;4;230;16000.0;0.0;0.0;69.57;Apartmento
Apartamento;Vila da Penha;3;1;0;67;1800.0;0.0;0.0;26.87;Apartmento
Casa de Vila;Vigário Geral;3;0;1;198;1500.0;0.0;0.0;7.58;Casa
Casa;Bancários;2;4;1;195;2800.0;0.0;138.0;14.36;Casa
Casa;Campo Grande;2;3;1;90;1700.0;0.0;0.0;18.89;Casa
Quitinete;Ramos;1;0;0;25;650.0;0.0;0.0;26.0;Apartmento
Casa;Campo Grande;2;2;1;100;1000.0;0.0;0.0;10.0;Casa
Casa;Méier;3;1;0;80;2000.0;0.0;0.0;25.0;Casa
Apartamento;Copacabana;2;0;0;70;4000.0;0.0;0.0;57.14;Apartmento
Apartamento;Copacabana;2;0;0;62;2500.0;0.0;0.0;40.32;Apartmento
Casa;Vila Valqueire;2;1;1;65;1700.0;0.0;0.0;26.15;Casa
Casa;Freguesia (Jacarepaguá);4;3;4;400;16000.0;0.0;2200.0;40.0;Casa
Casa;Engenho de Dentro;1;0;0;50;800.0;0.0;17.0;16.0;Casa
Apartamento;Vaz Lobo;2;1;0;50;1100.0;0.0;0.0;22.0;Apartmento
Apartamento;Ipanema;1;0;0;38;5500.0;0.0;0.0;144.74;Apartmento
Apartamento;Moneró;2;0;0;199;1300.0;0.0;0.0;6.53;Apartmento
Casa;Paciência;1;0;0;40;700.0;0.0;0.0;17.5;Casa
Casa;Urca;4;3;4;800;35000.0;0.0;0.0;43.75;Casa
Casa;Recreio dos Bandeirantes;4;0;2;600;8500.0;0.0;1858.0;14.17;Casa
Apartamento;Botafogo;1;1;0;45;2150.0;0.0;80.0;47.78;Apartmento
Apartamento;Barra da Tijuca;3;1;1;90;2309.0;0.0;0.0;25.66;Apartmento
Casa;Bonsucesso;3;0;0;75;1800.0;0.0;44.0;24.0;Casa
Apartamento;Portuguesa;1;0;0;16;1200.0;0.0;0.0;75.0;Apartmento
Casa;Campo Grande;2;1;0;120;2500.0;0.0;0.0;20.83;Casa
Apartamento;Copacabana;1;0;0;30;2800.0;0.0;0.0;93.33;Apartmento
Casa;Vila Isabel;2;1;1;100;2800.0;0.0;400.0;28.0;Casa
Quitinete;Barra da Tijuca;1;1;1;20;1800.0;0.0;0.0;90.0;Apartmento
Apartamento;Ipanema;2;1;2;240;24000.0;0.0;0.0;100.0;Apartmento
Apartamento;Cosmos;2;1;0;60;650.0;0.0;0.0;10.83;Apartmento
Casa;Recreio dos Bandeirantes;3;3;1;300;4500.0;0.0;0.0;15.0;Casa
Casa;Madureira;1;0;0;40;800.0;0.0;0.0;20.0;Casa
Casa;Vargem Pequena;2;3;2;300;7500.0;0.0;0.0;25.0;Casa
Casa de Vila;Riachuelo;2;0;0;41;900.0;0.0;135.0;21.95;Casa
Casa;Cocotá;3;1;3;300;4000.0;0.0;1500.0;13.33;Casa
Casa;Santa Teresa;6;10;5;1000;25000.0;0.0;706.0;25.0;Casa
Apartamento;Barra da Tijuca;2;1;2;140;10000.0;0.0;0.0;71.43;Apartmento
Casa de Condomínio;Guaratiba;2;0;0;70;1000.0;0.0;0.0;14.29;Casa
