Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Casa;Freguesia (Jacarepaguá);3;2;0;140;6600.0;0.0;400.0;47.14;Casa
Casa;Campo Grande;2;0;0;60;900.0;0.0;0.0;15.0;Casa
Quitinete;Vila da Penha;1;0;0;25;600.0;0.0;0.0;24.0;Apartmento
Casa;Quintino Bocaiúva;4;8;0;200;2500.0;0.0;0.0;12.5;Casa
Casa;Campo Grande;3;2;3;230;2000.0;0.0;0.0;8.7;Casa
Casa;Pavuna;3;2;0;90;900.0;0.0;0.0;10.0;Casa
Casa;Jardim Botânico;5;4;4;845;35000.0;0.0;1642.0;41.42;Casa
Casa;Paciência;1;0;0;40;650.0;0.0;0.0;16.25;Casa
Casa;Vaz Lobo;3;1;0;80;950.0;0.0;36.0;11.88;Casa
Apartamento;Campo Grande;3;1;1;90;850.0;0.0;0.0;9.44;Apartmento
Apartamento;São Conrado;2;1;1;100;3900.0;0.0;115.0;39.0;Apartmento
Flat;Barra da Tijuca;1;1;0;45;3800.0;0.0;0.0;84.44;Apartmento
Apartamento;Campo Grande;2;0;0;50;700.0;0.0;0.0;14.0;Apartmento
Apartamento;Barra da Tijuca;3;1;1;95;2800.0;0.0;0.0;29.47;Apartmento
Quitinete;Taquara;1;0;0;25;500.0;0.0;0.0;20.0;Apartmento
Casa de Condomínio;Itanhangá;4;4;2;600;12000.0;0.0;0.0;20.0;Casa
Apartamento;Centro;2;0;0;100;2000.0;0.0;0.0;20.0;Apartmento
Casa;Pedra de Guaratiba;2;1;1;100;1200.0;0.0;0.0;12.0;Casa
Apartamento;Anchieta;1;0;0;60;690.0;0.0;0.0;11.5;Apartmento
Apartamento;Santa Teresa;2;0;0;56;1800.0;0.0;14.0;32.14;Apartmento
Casa;Vaz Lobo;3;2;0;100;950.0;0.0;0.0;9.5;Casa
Casa;Curicica;2;0;0;60;1000.0;0.0;98.0;16.67;Casa
Apartamento;Freguesia (Jacarepaguá);4;3;1;300;4200.0;0.0;0.0;14.0;Apartmento
Apartamento;Tijuca;1;1;0;69;3000.0;0.0;0.0;43.48;Apartmento
Casa;Campo Grande;3;2;1;240;1700.0;0.0;136.0;7.08;Casa
Casa;Cascadura;3;0;0;60;1200.0;0.0;0.0;20.0;Casa
Casa;Jardim Guanabara;4;10;2;447;6500.0;0.0;2937.0;14.54;Casa
Casa;Campo Grande;1;0;0;30;430.0;0.0;0.0;14.33;Casa
Flat;Ipanema;2;1;2;85;8500.0;0.0;0.0;100.0;Apartmento
Casa;Jardim Botânico;4;3;4;300;20000.0;0.0;1254.0;66.67;Casa
